mrp;price;product_category;rating;review_count;Nylon;Rayon;Spandex;polyester;Cotton;Modal;Elastane
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
38.00 ;33.63 ;Bras;3.8;32;71;0;0;0;0;0;29.5
65.00 ;30.99 ;Bras;4.2;114;0;0;10;90;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
44.00 ;44.00 ;Bras;4.3;39;0;0;0;0;53;35;12
38.00 ;33.63 ;Bras;4.5;26;79;0;0;0;0;0;21
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
29.00 ;29.00 ;Panties;4.3;429;0;0;0;0;95;0;5
65.00 ;65.00 ;Bras;3.8;105;72;0;28;0;0;0;0
48.00 ;42.00 ;Bras;4.3;398;82;0;18;0;0;0;0
21.90 ;21.90 ;Panties;4.8;6;43;0;9;48;0;0;0
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
38.00 ;28.50 ;Bras;4.5;26;79;0;0;0;0;0;21
38.00 ;21.89 ;Bras;4.3;382;86;0;14;0;0;0;0
33.00 ;33.00 ;Panties;4;15;72;0;0;0;0;0;28
49.99 ;49.99 ;Bras;4.3;414;41;0;11;48;0;0;0
33.00 ;19.80 ;Panties;4.2;16;0;0;0;0;95;0;5
36.00 ;29.84 ;Bras;4.6;68;72;0;0;0;0;0;28
27.00 ;14.99 ;Panties;4.3;95;41;0;11;48;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
48.00 ;34.95 ;Bras;4.3;398;82;0;18;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
48.00 ;48.00 ;Bras;4.5;773;100;0;0;0;0;0;0
33.63 ;33.63 ;Bras;4.5;26;79;0;0;0;0;0;21
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
50.00 ;47.00 ;Bras;4.3;414;54;0;13;33;0;0;0
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
50.00 ;25.99 ;Bras;4.3;414;41;0;11;48;0;0;0
46.00 ;46.00 ;Bras;4.3;191;82;0;18;0;0;0;0
38.00 ;25.99 ;Bras;4.5;26;79;0;0;0;0;0;21
68.00 ;47.40 ;Bras;4.2;250;80;0;20;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
65.00 ;30.55 ;Bras;4.3;1894;80;0;20;0;0;0;0
